policy,network,seed,rmse_total,iae_total,violation_pct,violation_mag,transmissions,bytes_sent,energy_mj,channel_loss_pct,congestion_drops,avg_aoi,max_aoi,fairness,rmse_temperature,rmse_humidity,rmse_co2,rmse_soil_moisture,rmse_light,rmse_ventilation
cvoi,good,2032,0.19654642834016178,51.84418819694569,31.11111111111111,22.17706888739633,360,6476,885.12,0.0,1770,11.098611111111111,76.0,0.8947846240614185,0.3178100445826966,0.042693030589379045,0.045043567204696065,0.09408969008353285,0.3774217968345911,0.30222044074607496
periodic_all,good,2033,0.2438307516086946,72.64045912664656,37.77777777777778,21.870917384083267,360,6480,885.6,0.0,1800,150.58333333333334,360.0,0.8351759516315246,0.3445304000063562,0.07428401974546345,0.04689595394687605,0.35310360064266605,0.3849438097198392,0.2592267255909667
round_robin,good,2033,0.19097662856456502,52.526909398247604,45.27777777777778,46.07248669953281,360,6480,885.6,0.0,1800,3.483796296296296,6.0,0.9999941899410716,0.5044495527156356,0.02272682670839491,0.04013088322629917,0.038877285044756224,0.3823554510253928,0.1573197726669114
error_trigger,good,2033,0.21890590442728808,61.103395382419855,32.77777777777778,19.731834318528385,360,6430,879.6,0.0,1800,52.17407407407407,360.0,0.4405194942596266,0.32664784900401145,0.10647009508892016,0.04689595394687605,0.2122540781802845,0.38218295225389554,0.23898449808974095
aoi,good,2033,0.20282235285115593,55.66803574033106,50.833333333333336,59.637908277118456,360,6480,885.6,0.0,1795,3.4837962962962963,6.0,0.9999941899410718,0.5715224030358459,0.022717287676211163,0.04112652490097093,0.037109940806478996,0.3823321103755505,0.16212585031187818
risk,good,2033,0.24240043548631782,65.88010326002436,32.22222222222222,32.7963423274539,283,5066,715.92,0.0,376,78.4662037037037,360.0,0.5328149469471869,0.32133509988476,0.07428401974546345,0.04689595394687605,0.29012415310750084,0.38219060908401953,0.33957277714928685
cvoi,good,2033,0.19294238011796508,50.32891477586484,34.44444444444444,23.70243555905741,359,6458,882.9599999999999,0.0,1768,11.774537037037035,75.0,0.8738523250573678,0.3313696447296258,0.024210979496193875,0.05033599624311173,0.08452521248486872,0.38329712263422433,0.28391532511976597
periodic_all,good,2034,0.1863977894642229,53.31600294373237,31.944444444444443,20.193913631712846,360,6480,885.6,0.0,1800,150.58333333333334,360.0,0.8351759516315246,0.3455727602101664,0.045590566754745154,0.040803410659532045,0.06975594078828967,0.39602021783841257,0.2206438405341914
round_robin,good,2034,0.18579774841338612,51.54945918128279,40.833333333333336,41.353214528993476,360,6480,885.6,0.0,1800,3.483796296296296,6.0,0.9999941899410716,0.48848615016359087,0.022235381809063655,0.0380810998856369,0.03405293795511844,0.3751977472083127,0.15673317345859397
error_trigger,good,2034,0.1668482069242816,46.42812800417138,26.944444444444443,17.03697663921784,360,6480,885.6,0.0,1800,101.03148148148149,360.0,0.6160951112270988,0.3068804739891428,0.045590566754745154,0.040803410659532045,0.06975594078828967,0.37564002548393033,0.1624188238700497
